sample.samplingPoint,longitude,latitude,area,subarea
NW-88004397,-2.757946,54.274788,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88004563,-3.006638,54.243866,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88006220,-2.615272,54.647334,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88006288,-2.70084,54.755843,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88006427,-2.952144,54.905279,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88008584,-2.843727,53.629437,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G
NW-88019870,-2.608199,54.646911,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88016096,-2.951023,54.315787,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88022315,-2.956052,54.400688,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88010011,-3.066203,54.353003,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88003532,-2.625193,53.768595,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G
NW-88006798,-2.849358,53.480547,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G
NW-88016103,-3.018787,54.448877,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88021671,-3.024988,54.427956,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-D
NW-88010126,-3.356853,54.584062,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88006244,-2.745478,54.550837,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-B
NW-88002884,-3.06958,53.537664,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/4-11,http://environment.data.gov.uk/water-quality/id/ea-subarea/4-11-G
